,Logistic Regression,Decision Tree,Random Forest,SVM (RBF),K-Nearest Neighbors
Fold 1,0.9736842105263158,0.9298245614035088,0.9649122807017544,0.9912280701754386,0.9824561403508771
Fold 2,0.9473684210526315,0.868421052631579,0.9385964912280702,0.9473684210526315,0.9473684210526315
Fold 3,0.9649122807017544,0.8859649122807017,0.956140350877193,0.9736842105263158,0.9385964912280702
Fold 4,0.9912280701754386,0.9385964912280702,0.9473684210526315,0.9912280701754386,0.9824561403508771
Fold 5,0.9911504424778761,0.9292035398230089,0.9646017699115044,0.9823008849557522,0.9646017699115044
