Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Engineering Score,Rank
XGBoost,0.9716666666666667,0.9482758620689655,0.9090909090909091,0.9282700421940928,0.9841439638365052,0.9400313310263648,1
Random Forest,0.9566666666666667,0.9357798165137615,0.8429752066115702,0.8869565217391304,0.9819700132852534,0.9046181694803036,2
Decision Tree,0.9216666666666666,0.8627450980392157,0.7272727272727273,0.7892376681614349,0.9202280922721233,0.8174399135552617,3
Logistic Regression,0.91,0.8073394495412844,0.7272727272727273,0.7652173913043478,0.9571766248555013,0.8109163054983513,4
